Time,Channel A,Channel B
(us),(mV),(V)

4.93402129,158.74200000,-1.99758900
4.98402129,156.30050000,-2.09357000
5.03402129,152.95880000,-2.19977400
5.08402129,149.58650000,-2.28919300
5.13402128,145.87850000,-2.38883600
5.18402128,142.73510000,-2.47337300
5.23402128,138.96600000,-2.56538600
5.28402127,135.57850000,-2.64137700
5.33402127,131.59580000,-2.72530300
5.38402127,128.00990000,-2.79580100
5.43402126,123.98140000,-2.87148700
5.48402126,120.53280000,-2.93313400
5.53402126,116.29080000,-2.99935900
5.58402126,112.32340000,-3.05322400
5.63402125,107.98970000,-3.10968400
5.68402125,104.41910000,-3.15454600
5.73402125,100.08540000,-3.20184900
5.78402124,96.07227000,-3.23954000
5.83402124,91.58604000,-3.27753500
5.88402124,87.72545000,-3.30652800
5.93402124,83.30026000,-3.33353700
5.98402123,79.45493000,-3.35184800
6.03402123,74.92294000,-3.36771800
6.08402123,70.84872000,-3.37687300
6.13402122,66.28620000,-3.38343500
6.18402122,62.41035000,-3.38587600
6.23402122,57.95465000,-3.38206100
6.28402121,54.09406000,-3.37290600
6.33402121,49.65361000,-3.35795200
6.38402121,45.76250000,-3.34116600
6.43402121,41.47465000,-3.31614100
6.48402120,37.91925000,-3.28959000
6.53402120,33.64666000,-3.25464700
6.58402120,29.74029000,-3.22046600
6.63402119,25.52873000,-3.17545100
6.68402119,22.08014000,-3.13119900
6.73402119,18.06696000,-3.07580800
6.78402118,14.52681000,-3.02301100
6.83402118,10.51363000,-2.95846400
6.88402118,7.00399700,-2.89864800
6.93402118,3.41807300,-2.82479300
6.98402117,0.70192570,-2.75551600
7.03402117,-2.80770300,-2.67357400
7.08402117,-6.22577600,-2.59987200
7.13402116,-9.53703400,-2.50923200
7.18402116,-11.88696000,-2.42454300
7.23402116,-15.01511000,-2.32612100
7.28402116,-18.14325000,-2.23853300
7.33402115,-21.02725000,-2.13400700
7.38402115,-22.91940000,-2.03924700
7.43402115,-25.42192000,-1.92693900
7.48402114,-27.89392000,-1.82561700
7.53402114,-30.33540000,-1.70812100
7.58402114,-32.15125000,-1.60435800
7.63402113,-34.04340000,-1.48152100
7.68402113,-35.41673000,-1.37089100
7.73402113,-37.36991000,-1.24393400
7.78402113,-39.42991000,-1.13300000
7.83402112,-40.92532000,-1.00177000
7.88402112,-41.42887000,-0.88351080
7.93402112,-42.89376000,-0.74922940
7.98402111,-44.99954000,-0.63325910
8.03402111,-45.88457000,-0.49714650
8.08402111,-45.31998000,-0.37553030
8.13402110,-45.77776000,-0.23789180
8.18402110,-47.07480000,-0.11917480
8.23402110,-47.53257000,0.01815851
8.28402110,-47.05954000,0.13901180
8.33402109,-47.16635000,0.27726070
8.38402109,-47.80724000,0.39811400
8.43402109,-47.74620000,0.53544720
8.48402108,-47.05954000,0.65416430
8.53402108,-46.54072000,0.78966640
8.58402108,-46.29657000,0.90746790
8.63402107,-45.59465000,1.04007100
8.68402107,-44.63332000,1.15390500
8.73402107,-43.48887000,1.28360900
8.78402107,-42.42073000,1.39606900
8.83402106,-41.23050000,1.52165300
8.88402106,-40.26917000,1.62831500
8.93402106,-38.86532000,1.74901600
8.98402105,-37.38517000,1.85277900
9.03402105,-35.76769000,1.96798600
9.08402105,-34.39436000,2.06518700
9.13402105,-32.50221000,2.17352800
9.18402104,-30.54903000,2.26523600
9.23402104,-28.27540000,2.36762600
9.28402104,-26.20014000,2.45460400
9.33402103,-23.86547000,2.55043200
9.38402103,-21.88177000,2.63115300
9.43402103,-19.47081000,2.71889400
9.48402102,-17.28873000,2.79137500
9.53402102,-14.64888000,2.87026600
9.58402102,-12.25318000,2.93557500
9.63402102,-9.47599700,3.00500500
9.68402101,-7.03451600,3.06085400
9.73402101,-4.18103600,3.12097500
9.78402101,-1.64799900,3.17011000
9.83402100,1.29703700,3.22122900
9.88402100,3.92162800,3.26120800
9.93402100,6.94296000,3.30240800
9.98402099,9.58281100,3.33414700
10.03402099,12.63466000,3.36451300
10.08402099,15.32029000,3.38572300
10.13402099,18.55525000,3.40662900
10.18402098,21.56133000,3.42188800
